生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
QNXY-REL-P0-007-冷珠手链腕戴终身连续性,REL,冷珠手链腕戴终身连续性,P0,V4标黄P081-P088、P097-P104,AI-04;AI-05,林如蔚交换后把冷珠作为手链戴在手腕上；追船、系红绸、四季与暮年始终腕戴,QNXY-REF-015只参考珠体、深灰细编绳和对称结；颈戴构图与旧掌心长期握持口径废止；同一冷珠尺寸纹理、腕侧与闭合方向不变且可有自然轻微磨痕,交换前苏珏腕戴→交换取下→林如蔚腕戴→追船腕戴→四季腕戴→暮年仍腕戴,PRP-001、CHR-002、CST-006至011,各季环境光只改变反射不改变颜色,影响阶段2佩戴道具状态和阶段3调用；旧ID映射见data/05_阶段1_资产ID修正映射.csv,AI-04;AI-05,项目锁定;用户道具参考;主创修正,已锁定,阶段2建立单一道具映射并联测交换后至终身腕戴；左/右腕由2A一次锁定
QNXY-REL-P1-008-小舟靠岸书卷交接关系,REL,AI-02归舟至院门相会关系,P1,V4标黄P032-P036,AI-02,稳定关系ID保留；林如蔚院内整理药草、在小舟仍处远湖时听见桨声水声起身去院门并始终停留门内侧、与站在REF-058船头的苏珏隔湖挥手、船工操桨停靠REF-056、苏珏独立下船并沿石路回到院门、院门相会、递出REF-063蓝色包袱、林如蔚接包并以衣袖擦汗；白鹭意境镜头可独立跳切；不得混用女主到岸边等待的另一条行为路线,REF-059与062锁定药桌动作区；REF-060锁定院门望湖方向；REF-061锁定院门回望药桌与主屋方向；REF-056继续锁定停靠点；女主起身和双方挥手必须发生在小舟接近停靠之前；靠岸、下船和男主回院门镜头不强行加入女主；递包手位和擦汗手臂高度由逐镜Prompt锁定,湖面白鹭意境跳切→院内整理→远湖桨声水声→女主停手起身→沿REF-059至061关系去院门并留在门内侧→看见仍在湖中的归舟→隔湖挥手→船头苏珏回应→小舟接近→停靠→苏珏独立下船→苏珏沿石路回院门→院门相会→递REF-063包袱→接包→衣袖擦汗,SCN-005、VEH-001、CRO-P1-003、PRP-P1-004、PRP-P2-008、CHR-001、CHR-002、CST-001、CST-002,新增多视角强化药桌—栅栏门—湖面轴线；跳切仍以同一低角度清晨太阳世界方位、薄雾、从湖面吹向小院的轻微湖风、湖面声场、视线方向和动作因果保持清楚；动作镜头内部保持人物轴线、手部连续、包袱造型不漂移、衣袖与脸部不穿透,影响阶段3正式分镜空间调用与Seedance2.0生成单元；不新增关系ID,AI-02,剧本明确;用户2026-07-26至27最新动作、REF-058至063、全Prompt动作控制与2026-07-27唯一院门等待调度,小院多视角、独立包袱和唯一人物调度已登记；下一步按规则固定十字段确认分镜后编写正式Prompt；旧书卷交接不调用
QNXY-REL-P1-009-征募文书决意连续性,REL,征募文书决意连续性,P1,V4标黄P052-P061,AI-03,街巷出现征募文书；苏珏手攥乡里自愿从军文书进入廊亭并在对白中攥出折痕,是否同一张文书未确认；至少统一纸张体系和折痕状态逻辑,贴墙／递人→苏珏持有→攥紧折痕→情绪缓和仍持有,PRP-005、CRO-002、CHR-001、SCN-006、SCN-007,阴天到傍晚光影变化,影响阶段2文书状态图和阶段3手部连续性,AI-03,剧本明确;合理推断,已锁定,已确认一物多态
QNXY-REL-P0-010-廊亭告别站位与对白连续性,REL,廊亭告别站位与对白连续性,P0,V4标黄P056-P061,AI-03,林如蔚起始在靠湖栏杆；苏珏从廊道到她身前几步；她前进半步；最后二人并肩凭栏,原台词逐字保留；苏珏未说完后林如蔚先看文书再回应,分离站位→距离缩短→并肩沉默,SCN-007、CHR-001、CHR-002、PRP-005、VOI-009、VOI-010,同一傍晚侧逆光,影响阶段2空间资产与阶段3镜头调用,AI-03,剧本明确;项目锁定,已锁定,阶段2建立站位关系图但不做正式分镜
QNXY-REL-P0-011-石桥赠珠触手对白固定顺序,REL,石桥赠珠触手对白固定顺序,P0,V4标黄P081-P085,AI-04,固定顺序：林如蔚赠珠台词→苏珏伸手想碰指尖并在半空停顿后轻握/覆住她佩戴冷珠手链一侧的手腕与手背→苏珏来世再续前缘台词,任何拆镜或声音承载不得调换；旧V5.2颠倒顺序废止；原台词逐字不改,互赠并腕戴冷珠→林对白→停顿触手→苏对白,VOI-011、PRP-001、CST-005与VOI-012,黄昏同一光影,影响阶段2组合资产和阶段3全部分镜,AI-04,剧本明确;项目锁定;主创修正,已锁定,阶段2交接必须原样携带
QNXY-REL-P0-012-三孔桥渡口追船空间动线,REL,三孔桥渡口追船空间动线,P0,V4标黄P079-P088,AI-04,同一空间包含三孔石桥下方离别区、渡船停靠点、碎石追船岸线、岸端停步点与船行远方,需阶段2前确认互赠区与桥体相对位置、船行方向、追船方向；旧单孔桥A/B/C图只能作思路不可继承,离别→解缆→登船→沿岸追→岸端停→远船,SCN-008、VEH-002、PRP-006、CHR-001、CHR-002,黄昏余光与湖面反光保持方向,影响阶段2场景视图与阶段3调度,AI-04,剧本明确;项目锁定,已锁定,SCN-008的SV2与三孔桥动线已按建议确认
QNXY-REL-P0-013-追船强制动作链,REL,追船强制动作链,P0,V4标黄P087,AI-04,必须保留林如蔚沿碎石湖岸奔跑、一边挥手、追至尽头、停步、弯下身、手掌压在膝上；冷珠手链始终戴腕；不得用单纯泪落替代,动作顺序和因果锁定；人物跑动要有重量；手链随腕运动且不得穿模消失,起跑挥手→持续追船→岸端停步→弯腰→手掌压膝→含泪回望,CHR-002、CST-006、PRP-001、SCN-008、SND-007,黄昏逆光；湿裙与呼吸同步,影响阶段2动作参考和阶段3镜头完整性,AI-04,剧本明确;项目锁定;主创修正,已锁定,阶段2必须制作腕戴状态下的关键动作姿态板
QNXY-REL-P1-014-追船湿裙鬓发泪痕连续性,REL,追船湿裙鬓发泪痕连续性,P1,V4标黄P087-P088,AI-04,跑动时裙角被湖水打湿；停下时鬓发被风吹乱、泪落；远景凝望仍延续状态,湿水位置、布料重量和鬓发乱度逐步增加；不在登船前提前出现,干燥→裙角湿→鬓发乱与泪痕→远景保持,CHR-002、CST-006、SCN-008、SND-007,黄昏水面反光与风向一致,影响阶段2状态资产和阶段3连续性,AI-04,剧本明确;项目锁定,已锁定,阶段2制作干湿两态和动作接触参考
QNXY-REL-P0-015-祈福树固定机位空间连续性,REL,祈福树固定机位空间连续性,P0,V4标黄P096-P104,AI-05,摄影机、祈福树、湖岸和远山关系固定；季节不换场；人物可站在等待点、坐树下、系红绸或暮年站树下,修正历史文档把人物始终固定同一等待点的错误,春站湖边→夏坐树下→秋系绸→冬站同位置→暮年站树下,SCN-009、VFX-007与各季CST/LGT,同一构图下季节光影变体,影响阶段2场景变体对齐和阶段3调用,AI-05,剧本明确;项目锁定,已锁定,阶段2先确认母图再派生四季
QNXY-REL-P0-016-四季服装姿态与暮年连续性,REL,四季服装姿态与暮年连续性,P0,V4标黄P099-P104,AI-05,春常服A＋素色丝带站立；夏轻薄装坐树下；秋常服B＋薄披＋素簪并重系红绸；冬灰白外氅站立；暮年自然老化白发木簪素净衣色；冷珠手链全程戴腕,不得简化为同服装同姿态；不得将冷珠改为掌心握持、颈戴或随季节消失,春盼归亮意→夏反复望湖→秋修绸→冬守候→暮年安静,CHR-002、CST-007至011、PRP-001、PRP-007,各季LGT-010至014,影响阶段2全套状态资产和阶段3季节顺序,AI-05,剧本明确;项目锁定;主创修正,已锁定,阶段2按季节依赖顺序生产并保持同一腕侧
QNXY-REL-P1-017-红绸系挂旧化连续性,REL,红绸系挂旧化连续性,P1,V4标黄P097、P101、P103,AI-05,红绸初次郑重系于同一枝头；秋季风雨磨淡并松开后重新系紧；多年后变旧且与少量后续新增红绸共同形成年复一年积累,主叙事红绸字迹内容、结点和枝位始终不可漂移；其他红绸允许跨年自然新增和分层旧化但不得整体清空或重置,新写系挂→褪色松动→重新系紧→陈旧干涩→旧愿与新愿逐年叠加,PRP-007、SYM-002、SCN-009、CST-009,春雨夏风秋光冬雪与多年后光影变化,影响阶段2道具变体、SCN-009四季固定机位和阶段3连续性,AI-05,剧本明确;项目锁定;用户2026-07-19年复一年效果补充,已锁定,制作新、褪色松动、重系、旧与逐年叠加状态；人物可变但红绸固定连续性不变
QNXY-REL-P0-018-原台词画外音逐字与口型规则,REL,原台词画外音逐字与口型规则,P0,V4标黄P014、P035、P053、P055、P057、P060、P082-P085、P104,AI-01至AI-05,所有原台词、画外独白和画外音逐字保留、不压缩润色调序；画内说话人准确口型；画外声音不绑定人物口型；台词镜头不升格,可多镜连续承载但声音顺序连续；声音随AI视频生成；无字幕无音乐,VOI-003至012关联基础音色VOI-001至002,各场景同期声不得盖过人声,画内对白继承场景环境但声音口型规则不变,影响阶段2声音资产与阶段3正式分镜和Prompt,AI-01至AI-05,剧本明确;项目锁定,已锁定,阶段2交接必须携带完整原词清单
